corine,1,2,3,4,5,6,7,8,9,10,11,12
1,1.0,1.0,1.0,1.2,1.5,1.8,1.8,1.5,1.2,1.0,1.0,1.0
2,1.0,1.0,1.0,1.2,1.5,1.8,1.8,1.5,1.2,1.0,1.0,1.0
3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,1.0,1.0,1.0,1.2,1.5,1.8,1.8,1.5,1.2,1.0,1.0,1.0
5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6,1.0,1.0,1.0,1.2,1.5,1.8,1.8,1.5,1.2,1.0,1.0,1.0
7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,1.2,1.2,1.3,1.5,1.8,2.0,2.0,1.8,1.5,1.3,1.2,1.2
11,1.2,1.2,1.3,1.5,1.8,2.0,2.0,1.8,1.5,1.3,1.2,1.2
12,1.0,1.0,1.5,2.0,2.5,3.0,3.0,2.5,2.0,1.5,1.0,1.0
13,1.0,1.0,1.5,2.0,2.5,3.0,3.0,2.5,2.0,1.5,1.0,1.0
14,1.0,1.0,1.2,1.5,2.0,2.5,2.5,2.0,1.5,1.2,1.0,1.0
15,1.0,1.0,1.0,1.2,1.5,2.0,2.0,1.8,1.5,1.2,1.0,1.0
16,1.0,1.0,1.2,1.8,2.5,3.0,3.0,2.8,2.0,1.5,1.0,1.0
17,1.0,1.0,1.2,1.8,2.5,3.0,3.0,2.8,2.0,1.5,1.0,1.0
18,1.0,1.0,1.5,2.0,2.5,3.0,3.0,2.5,2.0,1.5,1.0,1.0
19,1.0,1.0,1.5,2.0,2.5,3.0,3.0,2.5,2.0,1.5,1.0,1.0
20,1.0,1.0,1.5,2.0,2.5,3.0,3.0,2.5,2.0,1.5,1.0,1.0
21,1.0,1.0,1.5,2.0,2.5,3.0,3.0,2.5,2.0,1.5,1.0,1.0
22,1.2,1.2,1.8,2.5,3.2,3.8,3.8,3.2,2.5,1.8,1.2,1.2
23,2.5,2.5,3.0,4.0,5.0,5.5,5.5,5.0,4.0,3.0,2.5,2.5
24,2.0,2.0,2.5,3.5,4.5,5.0,5.0,4.5,3.5,2.5,2.0,2.0
25,2.2,2.2,2.8,3.8,4.8,5.2,5.2,4.8,3.8,2.8,2.2,2.2
26,1.0,1.0,1.5,2.0,2.5,3.0,3.0,2.5,2.0,1.5,1.0,1.0
27,1.0,1.0,1.5,2.0,2.5,3.0,3.0,2.5,2.0,1.5,1.0,1.0
28,1.0,1.0,1.2,1.5,2.0,2.5,2.5,2.0,1.5,1.2,1.0,1.0
29,1.0,1.0,1.2,1.5,2.0,2.5,2.5,2.0,1.5,1.2,1.0,1.0
30,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.7,0.6,0.5,0.5,0.5
31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
32,0.5,0.5,0.6,0.7,0.8,0.9,0.9,0.8,0.7,0.6,0.5,0.5
33,0.5,0.5,0.6,0.7,0.8,0.9,0.9,0.8,0.7,0.6,0.5,0.5
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.0,1.0,1.2,1.5,1.8,2.0,2.0,1.8,1.5,1.2,1.0,1.0
36,1.0,1.0,1.2,1.5,1.8,2.0,2.0,1.8,1.5,1.2,1.0,1.0
37,1.0,1.0,1.2,1.5,1.8,2.0,2.0,1.8,1.5,1.2,1.0,1.0
38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
39,0.5,0.5,0.6,0.7,0.8,0.9,0.9,0.8,0.7,0.6,0.5,0.5
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.0,1.0,1.2,1.5,1.8,2.0,2.0,1.8,1.5,1.2,1.0,1.0
43,1.0,1.0,1.2,1.5,1.8,2.0,2.0,1.8,1.5,1.2,1.0,1.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
