class_id,soil,theta_s,theta_r,k_sat_ver,soil_depth,conductivity_decay,brooks_corey
0,Bedrock,0.05,0.01,100,100,0.04,1
1,Clay,0.48,0.08,60,2000,0.012,7
2,Coarse clay with sand,0.45,0.06,200,1800,0.015,5
3,Coarse sand,0.38,0.03,2000,1000,0.025,3
4,Coarse sand with clay,0.42,0.05,600,1500,0.018,4
5,Fine clay with sand,0.46,0.07,120,1800,0.014,6
6,Fine sand,0.41,0.04,1200,1200,0.02,3
7,Fine sand with clay,0.43,0.05,400,1500,0.017,4
8,Glacier,0.3,0.02,500,500,0.02,2
9,Gravel,0.25,0.02,3000,500,0.03,3
10,Gyttja/peat,0.8,0.2,50,2500,0.008,4
